deck_id,avg_elixirCost,avg_card_usage,total_hitpoints,num_air,num_troop,num_spell,num_building,num_winconditions,num_cycle_cards,num_air_attackers,num_splash_cards,deck_name,deck_win_rate
1,3.5,5.94,9179.0,0.0,6.0,2.0,0.0,1.0,4.0,3.0,2.0,Deck 1,66.0
2,3.88,8.04,8086.0,1.0,6.0,2.0,0.0,1.0,3.0,4.0,5.0,Deck 2,66.0
3,5.5,5.08,12517.0,1.0,5.0,3.0,0.0,3.0,1.0,4.0,6.0,Deck 3,66.0
4,5.5,5.07,13878.0,1.0,6.0,2.0,0.0,3.0,1.0,3.0,5.0,Deck 4,66.0
5,3.25,11.07,5208.0,0.0,4.0,3.0,1.0,0.0,6.0,5.0,3.0,Deck 5,66.0
6,3.75,12.72,8225.0,1.0,6.0,2.0,0.0,1.0,5.0,4.0,3.0,Deck 6,66.0
7,5.0,4.19,9725.0,3.0,6.0,2.0,0.0,2.0,2.0,4.0,5.0,Deck 7,66.0
8,4.62,4.79,5342.0,1.0,5.0,3.0,0.0,1.0,3.0,5.0,6.0,Deck 8,66.0
9,4.38,4.67,7160.0,1.0,5.0,3.0,0.0,2.0,3.0,5.0,5.0,Deck 9,66.0
10,4.0,7.01,10066.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,6.0,Deck 10,66.0
11,3.38,10.01,7501.0,0.0,6.0,2.0,0.0,1.0,4.0,3.0,2.0,Deck 11,66.0
12,3.0,11.78,6440.0,0.0,6.0,2.0,0.0,1.0,5.0,3.0,2.0,Deck 12,66.0
13,3.38,6.41,4807.0,1.0,5.0,2.0,1.0,0.0,4.0,4.0,4.0,Deck 13,66.0
14,3.25,14.03,4924.0,0.0,4.0,2.0,2.0,0.0,5.0,4.0,3.0,Deck 14,66.0
15,4.5,4.1,7491.0,0.0,5.0,3.0,0.0,2.0,2.0,5.0,5.0,Deck 15,66.0
16,3.38,7.85,5781.0,1.0,6.0,1.0,1.0,0.0,5.0,3.0,4.0,Deck 16,66.0
17,3.75,8.91,8619.0,1.0,5.0,3.0,0.0,1.0,4.0,4.0,4.0,Deck 17,66.0
18,2.88,6.52,6915.0,1.0,5.0,2.0,1.0,0.0,5.0,3.0,3.0,Deck 18,66.0
19,2.88,15.55,4751.0,0.0,5.0,2.0,1.0,0.0,5.0,3.0,3.0,Deck 19,66.0
20,3.88,8.29,8979.0,1.0,6.0,2.0,0.0,1.0,3.0,3.0,3.0,Deck 20,66.0
21,3.75,12.51,10705.0,0.0,6.0,1.0,1.0,1.0,5.0,2.0,3.0,Deck 21,66.0
22,3.38,6.32,4969.0,1.0,5.0,2.0,1.0,0.0,5.0,4.0,4.0,Deck 22,66.0
23,2.62,4.96,3932.0,0.0,4.0,2.0,2.0,0.0,6.0,2.0,4.0,Deck 23,66.0
24,2.38,8.1,4678.0,0.0,6.0,1.0,1.0,0.0,7.0,2.0,3.0,Deck 24,66.0
25,3.62,6.93,4634.0,0.0,5.0,3.0,0.0,1.0,4.0,4.0,4.0,Deck 25,66.0
26,3.25,6.69,7253.0,0.0,6.0,2.0,0.0,0.0,5.0,3.0,3.0,Deck 26,66.0
27,3.12,7.31,7340.0,0.0,6.0,2.0,0.0,1.0,4.0,3.0,2.0,Deck 27,66.0
28,2.62,9.81,6056.0,0.0,5.0,2.0,1.0,0.0,6.0,3.0,4.0,Deck 28,66.0
29,4.88,6.48,4115.0,0.0,2.0,5.0,1.0,1.0,2.0,5.0,7.0,Deck 29,66.0
